250 1225
1 6 4142
1 7 5457
1 8 3677
1 9 8951
1 10 7793
2 6 3136
2 7 185
2 8 5519
2 9 1021
2 10 9179
3 6 3522
3 7 8174
3 8 6126
3 9 886
3 10 2691
4 6 6503
4 7 6077
4 8 7427
4 9 1311
4 10 9954
5 6 9368
5 7 4490
5 8 9915
5 9 6280
5 10 8426
6 11 1310
6 12 9301
6 13 5752
6 14 6061
6 15 6832
7 11 6188
7 12 4289
7 13 6086
7 14 394
7 15 5070
8 11 4440
8 12 1798
8 13 2394
8 14 7258
8 15 4123
9 11 2377
9 12 8099
9 13 4172
9 14 4572
9 15 924
10 11 2744
10 12 8993
10 13 3139
10 14 5367
10 15 5525
11 16 4359
11 17 1194
11 18 7249
11 19 2583
11 20 2544
12 16 9765
12 17 1661
12 18 9189
12 19 6999
12 20 4288
13 16 2561
13 17 5416
13 18 1971
13 19 1155
13 20 4644
14 16 2740
14 17 6165
14 18 6547
14 19 3194
14 20 1422
15 16 8013
15 17 4331
15 18 6350
15 19 1359
15 20 2812
16 21 606
16 22 7424
16 23 6079
16 24 5088
16 25 2121
17 21 9616
17 22 3823
17 23 4971
17 24 1110
17 25 1781
18 21 9998
18 22 1691
18 23 441
18 24 121
18 25 6826
19 21 4889
19 22 2255
19 23 61
19 24 9543
19 25 2032
20 21 9582
20 22 4405
20 23 3453
20 24 9874
20 25 9361
21 26 3784
21 27 8930
21 28 5680
21 29 3986
21 30 839
22 26 2697
22 27 730
22 28 5771
22 29 187
22 30 7251
23 26 5768
23 27 6513
23 28 9551
23 29 8819
23 30 1349
24 26 5464
24 27 6691
24 28 4525
24 29 6971
24 30 4021
25 26 2413
25 27 3647
25 28 3121
25 29 4431
25 30 1613
26 31 9951
26 32 5130
26 33 5512
26 34 7576
26 35 8759
27 31 9447
27 32 406
27 33 1256
27 34 8968
27 35 4933
28 31 3184
28 32 4412
28 33 344
28 34 9290
28 35 196
29 31 2145
29 32 7008
29 33 6916
29 34 7779
29 35 7335
30 31 8006
30 32 7066
30 33 61
30 34 7029
30 35 1972
31 36 9578
31 37 6140
31 38 1734
31 39 1434
31 40 1657
32 36 1745
32 37 9247
32 38 3697
32 39 7896
32 40 3147
33 36 5149
33 37 1411
33 38 9856
33 39 9764
33 40 1410
34 36 2911
34 37 8873
34 38 2387
34 39 7946
34 40 9991
35 36 6133
35 37 763
35 38 659
35 39 1212
35 40 7108
36 41 886
36 42 2375
36 43 3280
36 44 8549
36 45 9365
37 41 7365
37 42 4164
37 43 8523
37 44 8457
37 45 6441
38 41 5210
38 42 2542
38 43 2304
38 44 7445
38 45 3755
39 41 1337
39 42 1963
39 43 9306
39 44 5103
39 45 2314
40 41 30
40 42 4214
40 43 725
40 44 1813
40 45 5855
41 46 8732
41 47 4876
41 48 9764
41 49 3438
41 50 4139
42 46 6557
42 47 3394
42 48 8582
42 49 6006
42 50 5902
43 46 849
43 47 4158
43 48 8458
43 49 7422
43 50 5832
44 46 5334
44 47 7187
44 48 7995
44 49 9781
44 50 4955
45 46 7829
45 47 4492
45 48 2300
45 49 3217
45 50 2370
46 51 4875
46 52 6454
46 53 6828
46 54 9187
46 55 1437
47 51 7368
47 52 3045
47 53 9515
47 54 9148
47 55 6431
48 51 6369
48 52 2572
48 53 538
48 54 3468
48 55 4547
49 51 8221
49 52 3039
49 53 4945
49 54 5622
49 55 5132
50 51 4647
50 52 5573
50 53 4908
50 54 8614
50 55 721
51 56 8112
51 57 5479
51 58 908
51 59 3790
